artifact,classification,basis,recommended_action
rivanna_pull/analysis/synthetic_lollipop_v1/synthetic_lollipop_features.csv,STALE,Does not reproduce from same-named local masks. Only 9/261 pulled volumes equal local mask volumes; median absolute volume drift is 8.0 mm3.,Do not use as authoritative for local masks; regenerate after provenance is resolved.
rivanna_pull/analysis/synthetic_lollipop_v1/synthetic_lollipop_features.json,STALE,Companion JSON to stale feature CSV.,Treat as historical only.
rivanna_pull/analysis/synthetic_lollipop_v1/synthetic_lollipop_feature_summary.json,STALE,Summary derives from stale synthetic feature table.,Regenerate from current extracted features if local masks are the intended masks.
rivanna_pull/analysis/synthetic_lollipop_v1/manifests/synthetic_lollipop_manifest.csv,AUTHORITATIVE,Manifest realized volumes match local mask volumes for 261/261 cases.,"Use for mask-case mapping and generation metadata, not for extracted morphology."
rivanna_pull/analysis/synthetic_lollipop_v1/masks,AUTHORITATIVE,Local pulled masks are the concrete NIfTI inputs available for reproduction and align with manifest realized volumes.,Use these masks as source of truth for local re-extraction unless older mask archives are recovered.
scripts/extract_real_tumor_features.py,AUTHORITATIVE,Current local extractor is identical to the pulled extractor copy by file diff and is the only local executable feature code path.,Use for current reproducibility; version future outputs with commit hash and input hashes.
rivanna_pull/scripts/generate_synthetic_lollipop_cohort.py,REPRODUCIBLE_LEGACY,Pulled generator copy differs from current generator and retains older size/shape calibration behavior consistent with stale pulled feature morphology.,"Treat as the most likely historical generator family for the pulled feature table, but not sufficient without the exact older masks."
scripts/generate_synthetic_lollipop_cohort.py,AUTHORITATIVE,"Current generator behavior aligns local masks with manifest realized volumes, including corrected tiny-target volumes.",Use only for future generation after explicit provenance/version stamping.
analysis/real_vs_synthetic/synthetic_features_reextracted_local.csv,REPRODUCIBLE_LEGACY,Previously generated local re-extraction table from current extractor and local masks; reproduced on selected cases in this investigation.,"Useful evidence, but regenerate a full table when finalizing a new benchmark."
unknown older synthetic masks used for pulled feature CSV,UNKNOWN_PROVENANCE,"Feature values imply a different same-case mask instance, but no separate older mask archive or generation command record is present locally.",Recover original source masks or mark the pulled feature table stale.
