file,function_or_section,change_summary,change_category,behavior_changed,backward_compatible,test_coverage,risk_level,verdict,followup_task,human_review_required
embed_tumor.py,uncommitted working tree,target-volume calibration and expanded metrics/QC/CLI,scientific;validation;schema,yes,partial,pytest unavailable; tests depend on uncommitted API,high,HUMAN_REVIEW_REQUIRED,review geometry and schema before commit,yes
projects/vivit/src/data/synthetic.py,uncommitted lollipop growth parameters,canal_growth_scale and bulb_growth_scale controls,scientific;api,yes,mostly,no focused committed test run,medium,KEEP_WITH_FOLLOWUP,add NaN/default-equivalence/non-default behavior tests before commit,yes
scripts/run_batch_embedding.py,_flatten_case_metrics,target_tumor_volume_mm3 fallback for target_volume_mm3,engineering;schema,yes,yes,focused test added; direct smoke passed; pytest unavailable,low,KEEP,,no
scripts/run_batch_embedding.py,_build_failure_report,filter missing primary_axis_error_deg before sorting,engineering;validation,yes,yes,focused test added; direct smoke passed; pytest unavailable,low,KEEP,,no
scripts/run_batch_embedding.py,--resume,skip complete outputs and append status JSONL,engineering;logging,yes,mostly,helper tests only; resume provenance tests missing,medium,KEEP_WITH_FOLLOWUP,validate input/parameter provenance before skipping,no
scripts/generate_synthetic_longitudinal_dataset.py,generate_longitudinal_dataset,new four-visit MVP wrapper,longitudinal;dataset,yes,new API,unittest audit previously passed; pytest unavailable,medium,KEEP_WITH_FOLLOWUP,validate label semantics and duplicate/invalid volume handling,yes
scripts/extract_real_tumor_features.py,axis metrics,moment/extent length inconsistency and affine-world vector risk,scientific_validation;schema,yes,new API,helper tests only; pytest unavailable,medium,MODIFY,fix metric naming/definitions after human review,yes
scripts/generate_synthetic_lollipop_cohort.py,manifest and calibration,new standalone target-volume generator,generator;dataset,yes,new CLI,helper tests only; pytest unavailable,medium,KEEP_WITH_FOLLOWUP,add provenance/convergence/collision/aniso tests before authoritative use,yes
tests/test_batch_helpers.py,batch regression tests,added target fallback and missing-axis tests,testing,no,yes,py_compile and direct smoke passed; pytest unavailable,low,KEEP,,no
tests/test_embedding_helpers.py,embedding helper tests,tests committed for uncommitted embed_tumor API,testing;integration,no,no,pytest unavailable,medium,MODIFY,commit matching implementation or revise tests to committed API,no
tests/test_feature_extractor_helpers.py,extractor helper tests,basic helper and empty-mask tests,testing,no,yes,pytest unavailable,low,KEEP_WITH_FOLLOWUP,add known-geometry/schema/affine tests,no
tests/test_longitudinal_dataset_audit.py,longitudinal unittest tests,deterministic helper and mocked routing tests,testing,no,yes,unittest previously passed; pytest unavailable,low,KEEP_WITH_FOLLOWUP,add invalid-volume and duplicate-patient tests,no
tests/test_longitudinal_helpers.py,longitudinal pytest helpers,constants CSV and QC tests,testing,no,yes,pytest unavailable,low,KEEP_WITH_FOLLOWUP,clarify fast/integration marker split,no
tests/test_synthetic_generation.py,synthetic generator tests,seed/spacing/target/calibration tests,testing,no,yes,pytest unavailable,low,KEEP_WITH_FOLLOWUP,add manifest/collision/aniso tests,no
